"","felvetel.eve","Subject","method","Emotion","label","RT_mean"
"94",2015,105,"SD filtering","happy","Incongruent",371.777777777778
"95",2015,105,"SD filtering","sad","Congruent",404
"96",2015,105,"SD filtering","sad","Incongruent",373.0625
"97",2015,105,"threshold","angry","Congruent",463.055555555556
"98",2015,105,"threshold","angry","Incongruent",423.882352941176
"99",2015,105,"threshold","happy","Congruent",410.764705882353
"100",2015,105,"threshold","happy","Incongruent",376.294117647059
"101",2015,105,"threshold","sad","Congruent",404
"102",2015,105,"threshold","sad","Incongruent",514.611111111111
"103",2015,105,"winsorizing","angry","Congruent",405.105263157895
"104",2015,105,"winsorizing","angry","Incongruent",399
"105",2015,105,"winsorizing","happy","Congruent",410.764705882353
"106",2015,105,"winsorizing","happy","Incongruent",371.777777777778
"107",2015,105,"winsorizing","sad","Congruent",404
"108",2015,105,"winsorizing","sad","Incongruent",402.736842105263
"109",2015,107,"SD filtering","angry","Congruent",475.052631578947
"110",2015,107,"SD filtering","angry","Incongruent",458.315789473684
"111",2015,107,"SD filtering","happy","Congruent",457.111111111111
"112",2015,107,"SD filtering","happy","Incongruent",447.052631578947
"113",2015,107,"SD filtering","sad","Congruent",455.722222222222
"114",2015,107,"SD filtering","sad","Incongruent",473.210526315789
"115",2015,107,"threshold","angry","Congruent",475.052631578947
"116",2015,107,"threshold","angry","Incongruent",458.315789473684
"117",2015,107,"threshold","happy","Congruent",547.894736842105
"118",2015,107,"threshold","happy","Incongruent",447.052631578947
"119",2015,107,"threshold","sad","Congruent",490
"120",2015,107,"threshold","sad","Incongruent",473.210526315789
"121",2015,107,"winsorizing","angry","Congruent",453.473684210526
"122",2015,107,"winsorizing","angry","Incongruent",436.263157894737
"123",2015,107,"winsorizing","happy","Congruent",457.578947368421
"124",2015,107,"winsorizing","happy","Incongruent",447.052631578947
"125",2015,107,"winsorizing","sad","Congruent",462.157894736842
"126",2015,107,"winsorizing","sad","Incongruent",446.947368421053
"127",2015,108,"SD filtering","angry","Congruent",439.842105263158
"128",2015,108,"SD filtering","angry","Incongruent",446.842105263158
"129",2015,108,"SD filtering","happy","Congruent",430.842105263158
"130",2015,108,"SD filtering","happy","Incongruent",408.611111111111
"131",2015,108,"SD filtering","sad","Congruent",448.736842105263
