"felvetel.eve","Subject","trial","RT","type","label","Emotion"
2015,417,"X1",454,"RpLe","Incongruent","sad"
2015,418,"X1",487,"RpLe","Incongruent","sad"
2015,419,"X1",508,"RpLe","Incongruent","sad"
2015,420,"X1",387,"RpLe","Incongruent","sad"
2015,421,"X1",436,"RpLe","Incongruent","sad"
2015,422,"X1",544,"RpLe","Incongruent","sad"
2015,423,"X1",455,"RpLe","Incongruent","sad"
2015,424,"X1",424,"RpLe","Incongruent","sad"
2015,425,"X1",355,"RpLe","Incongruent","sad"
2015,426,"X1",586,"RpLe","Incongruent","sad"
2015,427,"X1",756,"RpLe","Incongruent","sad"
2015,428,"X1",NA,"RpLe","Incongruent","sad"
2015,430,"X1",306,"RpLe","Incongruent","sad"
2015,431,"X1",475,"RpLe","Incongruent","sad"
2015,432,"X1",340,"RpLe","Incongruent","sad"
2015,433,"X1",480,"RpLe","Incongruent","sad"
2015,434,"X1",372,"RpLe","Incongruent","sad"
2015,435,"X1",340,"RpLe","Incongruent","sad"
2015,436,"X1",459,"RpLe","Incongruent","sad"
2015,437,"X1",476,"RpLe","Incongruent","sad"
2015,439,"X1",329,"RpLe","Incongruent","sad"
2015,440,"X1",379,"RpLe","Incongruent","sad"
2015,441,"X1",372,"RpLe","Incongruent","sad"
2015,442,"X1",414,"RpLe","Incongruent","sad"
2015,443,"X1",545,"RpLe","Incongruent","sad"
2015,445,"X1",306,"RpLe","Incongruent","sad"
2016,121,"X1",378,"RpLe","Incongruent","sad"
2016,122,"X1",416,"RpLe","Incongruent","sad"
2016,123,"X1",669,"RpLe","Incongruent","sad"
2016,124,"X1",639,"RpLe","Incongruent","sad"
2016,125,"X1",536,"RpLe","Incongruent","sad"
2016,126,"X1",429,"RpLe","Incongruent","sad"
2016,127,"X1",438,"RpLe","Incongruent","sad"
2016,128,"X1",462,"RpLe","Incongruent","sad"
2016,129,"X1",430,"RpLe","Incongruent","sad"
2016,130,"X1",404,"RpLe","Incongruent","sad"
2016,132,"X1",327,"RpLe","Incongruent","sad"
2016,133,"X1",345,"RpLe","Incongruent","sad"
2016,134,"X1",582,"RpLe","Incongruent","sad"
2016,135,"X1",598,"RpLe","Incongruent","sad"
2016,136,"X1",419,"RpLe","Incongruent","sad"
2016,137,"X1",478,"RpLe","Incongruent","sad"
2016,138,"X1",807,"RpLe","Incongruent","sad"
2016,139,"X1",423,"RpLe","Incongruent","sad"
2016,140,"X1",415,"RpLe","Incongruent","sad"
2016,142,"X1",396,"RpLe","Incongruent","sad"
2016,143,"X1",322,"RpLe","Incongruent","sad"
2016,144,"X1",512,"RpLe","Incongruent","sad"
2016,145,"X1",387,"RpLe","Incongruent","sad"
2016,146,"X1",424,"RpLe","Incongruent","sad"
2016,147,"X1",470,"RpLe","Incongruent","sad"
2016,500,"X1",329,"RpLe","Incongruent","sad"
2016,501,"X1",356,"RpLe","Incongruent","sad"
2016,502,"X1",492,"RpLe","Incongruent","sad"
2016,503,"X1",364,"RpLe","Incongruent","sad"
2016,504,"X1",411,"RpLe","Incongruent","sad"
2016,505,"X1",352,"RpLe","Incongruent","sad"
2016,506,"X1",363,"RpLe","Incongruent","sad"
2016,507,"X1",440,"RpLe","Incongruent","sad"
2016,508,"X1",339,"RpLe","Incongruent","sad"
2016,509,"X1",669,"RpLe","Incongruent","sad"
2016,510,"X1",497,"RpLe","Incongruent","sad"
2016,511,"X1",329,"RpLe","Incongruent","sad"
2016,512,"X1",447,"RpLe","Incongruent","sad"
2016,513,"X1",413,"RpLe","Incongruent","sad"
2016,514,"X1",433,"RpLe","Incongruent","sad"
2016,515,"X1",360,"RpLe","Incongruent","sad"
2016,516,"X1",354,"RpLe","Incongruent","sad"
2016,517,"X1",465,"RpLe","Incongruent","sad"
2016,518,"X1",559,"RpLe","Incongruent","sad"
2016,519,"X1",308,"RpLe","Incongruent","sad"
2016,520,"X1",454,"RpLe","Incongruent","sad"
2016,521,"X1",334,"RpLe","Incongruent","sad"
2016,522,"X1",747,"RpLe","Incongruent","sad"
2016,523,"X1",333,"RpLe","Incongruent","sad"
2016,524,"X1",375,"RpLe","Incongruent","sad"
2016,525,"X1",338,"RpLe","Incongruent","sad"
2016,527,"X1",366,"RpLe","Incongruent","sad"
2016,528,"X1",361,"RpLe","Incongruent","sad"
2016,529,"X1",390,"RpLe","Incongruent","sad"
2016,530,"X1",344,"RpLe","Incongruent","sad"
2016,550,"X1",499,"RpLe","Incongruent","sad"
2016,551,"X1",301,"RpLe","Incongruent","sad"
2016,552,"X1",344,"RpLe","Incongruent","sad"
2016,553,"X1",359,"RpLe","Incongruent","sad"
2016,554,"X1",NA,"RpLe","Incongruent","sad"
2016,556,"X1",329,"RpLe","Incongruent","sad"
2016,557,"X1",413,"RpLe","Incongruent","sad"
2016,559,"X1",414,"RpLe","Incongruent","sad"
2016,560,"X1",NA,"RpLe","Incongruent","sad"
2016,561,"X1",355,"RpLe","Incongruent","sad"
2016,562,"X1",313,"RpLe","Incongruent","sad"
2016,563,"X1",368,"RpLe","Incongruent","sad"
2016,564,"X1",315,"RpLe","Incongruent","sad"
2016,565,"X1",NA,"RpLe","Incongruent","sad"
2016,566,"X1",421,"RpLe","Incongruent","sad"
2016,567,"X1",387,"RpLe","Incongruent","sad"
2016,568,"X1",371,"RpLe","Incongruent","sad"
2016,569,"X1",329,"RpLe","Incongruent","sad"
2016,570,"X1",796,"RpLe","Incongruent","sad"
2016,571,"X1",315,"RpLe","Incongruent","sad"
2016,573,"X1",383,"RpLe","Incongruent","sad"
2016,574,"X1",386,"RpLe","Incongruent","sad"
2016,575,"X1",397,"RpLe","Incongruent","sad"
2016,576,"X1",382,"RpLe","Incongruent","sad"
2016,577,"X1",340,"RpLe","Incongruent","sad"
2016,650,"X1",1048,"RpLe","Incongruent","sad"
2016,651,"X1",324,"RpLe","Incongruent","sad"
2016,652,"X1",662,"RpLe","Incongruent","sad"
2016,653,"X1",495,"RpLe","Incongruent","sad"
2016,656,"X1",368,"RpLe","Incongruent","sad"
2016,657,"X1",422,"RpLe","Incongruent","sad"
2016,659,"X1",319,"RpLe","Incongruent","sad"
2016,660,"X1",439,"RpLe","Incongruent","sad"
2016,661,"X1",459,"RpLe","Incongruent","sad"
2016,662,"X1",472,"RpLe","Incongruent","sad"
2016,663,"X1",NA,"RpLe","Incongruent","sad"
2016,664,"X1",344,"RpLe","Incongruent","sad"
2016,665,"X1",493,"RpLe","Incongruent","sad"
2016,666,"X1",446,"RpLe","Incongruent","sad"
2016,667,"X1",NA,"RpLe","Incongruent","sad"
2016,668,"X1",416,"RpLe","Incongruent","sad"
2016,669,"X1",373,"RpLe","Incongruent","sad"
2016,670,"X1",855,"RpLe","Incongruent","sad"
2016,672,"X1",425,"RpLe","Incongruent","sad"
2016,673,"X1",441,"RpLe","Incongruent","sad"
2016,674,"X1",617,"RpLe","Incongruent","sad"
2016,675,"X1",395,"RpLe","Incongruent","sad"
2016,678,"X1",339,"RpLe","Incongruent","sad"
2016,679,"X1",415,"RpLe","Incongruent","sad"
2016,680,"X1",348,"RpLe","Incongruent","sad"
2016,701,"X1",366,"RpLe","Incongruent","sad"
2016,702,"X1",321,"RpLe","Incongruent","sad"
2016,703,"X1",363,"RpLe","Incongruent","sad"
2016,704,"X1",389,"RpLe","Incongruent","sad"
2016,705,"X1",440,"RpLe","Incongruent","sad"
2016,706,"X1",452,"RpLe","Incongruent","sad"
2016,707,"X1",386,"RpLe","Incongruent","sad"
2016,708,"X1",617,"RpLe","Incongruent","sad"
2016,709,"X1",329,"RpLe","Incongruent","sad"
2016,710,"X1",398,"RpLe","Incongruent","sad"
2016,711,"X1",456,"RpLe","Incongruent","sad"
2016,712,"X1",493,"RpLe","Incongruent","sad"
2016,713,"X1",428,"RpLe","Incongruent","sad"
2016,714,"X1",NA,"RpLe","Incongruent","sad"
2016,715,"X1",405,"RpLe","Incongruent","sad"
2016,716,"X1",NA,"RpLe","Incongruent","sad"
2016,717,"X1",794,"RpLe","Incongruent","sad"
2016,718,"X1",399,"RpLe","Incongruent","sad"
2016,719,"X1",303,"RpLe","Incongruent","sad"
2016,720,"X1",405,"RpLe","Incongruent","sad"
2016,721,"X1",353,"RpLe","Incongruent","sad"
2016,722,"X1",549,"RpLe","Incongruent","sad"
2016,723,"X1",NA,"RpLe","Incongruent","sad"
2016,724,"X1",NA,"RpLe","Incongruent","sad"
2016,725,"X1",419,"RpLe","Incongruent","sad"
2016,726,"X1",377,"RpLe","Incongruent","sad"
2016,727,"X1",340,"RpLe","Incongruent","sad"
2016,728,"X1",578,"RpLe","Incongruent","sad"
2016,730,"X1",340,"RpLe","Incongruent","sad"
2016,731,"X1",421,"RpLe","Incongruent","sad"
2016,732,"X1",432,"RpLe","Incongruent","sad"
2016,733,"X1",564,"RpLe","Incongruent","sad"
2016,750,"X1",378,"RpLe","Incongruent","sad"
2016,751,"X1",606,"RpLe","Incongruent","sad"
2016,752,"X1",448,"RpLe","Incongruent","sad"
2016,753,"X1",409,"RpLe","Incongruent","sad"
2016,754,"X1",347,"RpLe","Incongruent","sad"
2016,756,"X1",353,"RpLe","Incongruent","sad"
2016,757,"X1",662,"RpLe","Incongruent","sad"
2016,758,"X1",482,"RpLe","Incongruent","sad"
2016,759,"X1",424,"RpLe","Incongruent","sad"
2016,760,"X1",347,"RpLe","Incongruent","sad"
2016,761,"X1",319,"RpLe","Incongruent","sad"
2016,762,"X1",345,"RpLe","Incongruent","sad"
2016,763,"X1",632,"RpLe","Incongruent","sad"
2016,764,"X1",393,"RpLe","Incongruent","sad"
2016,765,"X1",533,"RpLe","Incongruent","sad"
2016,766,"X1",428,"RpLe","Incongruent","sad"
2016,767,"X1",382,"RpLe","Incongruent","sad"
2016,768,"X1",400,"RpLe","Incongruent","sad"
2016,770,"X1",354,"RpLe","Incongruent","sad"
2016,800,"X1",340,"RpLe","Incongruent","sad"
2016,801,"X1",358,"RpLe","Incongruent","sad"
2016,802,"X1",318,"RpLe","Incongruent","sad"
2016,803,"X1",422,"RpLe","Incongruent","sad"
2016,804,"X1",364,"RpLe","Incongruent","sad"
2016,805,"X1",490,"RpLe","Incongruent","sad"
2016,806,"X1",351,"RpLe","Incongruent","sad"
2016,807,"X1",524,"RpLe","Incongruent","sad"
2016,808,"X1",332,"RpLe","Incongruent","sad"
2016,809,"X1",376,"RpLe","Incongruent","sad"
2016,810,"X1",304,"RpLe","Incongruent","sad"
2016,811,"X1",402,"RpLe","Incongruent","sad"
2016,813,"X1",359,"RpLe","Incongruent","sad"
2016,814,"X1",470,"RpLe","Incongruent","sad"
2016,815,"X1",341,"RpLe","Incongruent","sad"
2016,816,"X1",317,"RpLe","Incongruent","sad"
2016,817,"X1",368,"RpLe","Incongruent","sad"
2016,818,"X1",420,"RpLe","Incongruent","sad"
2016,819,"X1",353,"RpLe","Incongruent","sad"
2016,820,"X1",355,"RpLe","Incongruent","sad"
2016,821,"X1",429,"RpLe","Incongruent","sad"
2016,822,"X1",376,"RpLe","Incongruent","sad"
2016,850,"X1",459,"RpLe","Incongruent","sad"
2016,851,"X1",392,"RpLe","Incongruent","sad"
2016,852,"X1",353,"RpLe","Incongruent","sad"
2016,853,"X1",373,"RpLe","Incongruent","sad"
2016,854,"X1",500,"RpLe","Incongruent","sad"
2016,857,"X1",398,"RpLe","Incongruent","sad"
2016,858,"X1",393,"RpLe","Incongruent","sad"
2016,859,"X1",327,"RpLe","Incongruent","sad"
2016,860,"X1",425,"RpLe","Incongruent","sad"
2016,861,"X1",396,"RpLe","Incongruent","sad"
2016,862,"X1",420,"RpLe","Incongruent","sad"
2016,7552,"X1",526,"RpLe","Incongruent","sad"
2015,100,"X10",368,"LpLe","Congruent","sad"
2015,101,"X10",412,"LpLe","Congruent","sad"
2015,102,"X10",392,"LpLe","Congruent","sad"
2015,103,"X10",417,"LpLe","Congruent","sad"
2015,104,"X10",357,"LpLe","Congruent","sad"
2015,105,"X10",446,"LpLe","Congruent","sad"
2015,107,"X10",500,"LpLe","Congruent","sad"
2015,108,"X10",401,"LpLe","Congruent","sad"
2015,110,"X10",335,"LpLe","Congruent","sad"
2015,112,"X10",337,"LpLe","Congruent","sad"
2015,113,"X10",386,"LpLe","Congruent","sad"
2015,114,"X10",420,"LpLe","Congruent","sad"
2015,115,"X10",NA,"LpLe","Congruent","sad"
2015,116,"X10",454,"LpLe","Congruent","sad"
2015,117,"X10",330,"LpLe","Congruent","sad"
2015,118,"X10",NA,"LpLe","Congruent","sad"
2015,120,"X10",343,"LpLe","Congruent","sad"
2015,121,"X10",388,"LpLe","Congruent","sad"
2015,122,"X10",375,"LpLe","Congruent","sad"
2015,123,"X10",392,"LpLe","Congruent","sad"
2015,124,"X10",339,"LpLe","Congruent","sad"
2015,125,"X10",346,"LpLe","Congruent","sad"
2015,126,"X10",430,"LpLe","Congruent","sad"
2015,127,"X10",NA,"LpLe","Congruent","sad"
2015,128,"X10",664,"LpLe","Congruent","sad"
2015,129,"X10",358,"LpLe","Congruent","sad"
2015,130,"X10",365,"LpLe","Congruent","sad"
2015,150,"X10",356,"LpLe","Congruent","sad"
2015,151,"X10",338,"LpLe","Congruent","sad"
2015,152,"X10",406,"LpLe","Congruent","sad"
2015,153,"X10",333,"LpLe","Congruent","sad"
2015,154,"X10",425,"LpLe","Congruent","sad"
2015,155,"X10",476,"LpLe","Congruent","sad"
2015,156,"X10",328,"LpLe","Congruent","sad"
2015,157,"X10",414,"LpLe","Congruent","sad"
2015,158,"X10",374,"LpLe","Congruent","sad"
2015,161,"X10",495,"LpLe","Congruent","sad"
2015,162,"X10",537,"LpLe","Congruent","sad"
2015,163,"X10",335,"LpLe","Congruent","sad"
2015,164,"X10",543,"LpLe","Congruent","sad"
2015,165,"X10",360,"LpLe","Congruent","sad"
2015,166,"X10",355,"LpLe","Congruent","sad"
2015,167,"X10",376,"LpLe","Congruent","sad"
2015,168,"X10",318,"LpLe","Congruent","sad"
2015,169,"X10",394,"LpLe","Congruent","sad"
2015,170,"X10",369,"LpLe","Congruent","sad"
2015,171,"X10",434,"LpLe","Congruent","sad"
2015,200,"X10",353,"LpLe","Congruent","sad"
2015,201,"X10",390,"LpLe","Congruent","sad"
2015,202,"X10",330,"LpLe","Congruent","sad"
2015,203,"X10",414,"LpLe","Congruent","sad"
2015,204,"X10",360,"LpLe","Congruent","sad"
2015,205,"X10",565,"LpLe","Congruent","sad"
2015,206,"X10",480,"LpLe","Congruent","sad"
2015,322,"X10",383,"LpLe","Congruent","sad"
2015,323,"X10",322,"LpLe","Congruent","sad"
2015,324,"X10",354,"LpLe","Congruent","sad"
2015,325,"X10",335,"LpLe","Congruent","sad"
2015,326,"X10",420,"LpLe","Congruent","sad"
2015,327,"X10",556,"LpLe","Congruent","sad"
2015,328,"X10",415,"LpLe","Congruent","sad"
2015,329,"X10",354,"LpLe","Congruent","sad"
2015,330,"X10",657,"LpLe","Congruent","sad"
2015,331,"X10",369,"LpLe","Congruent","sad"
2015,332,"X10",453,"LpLe","Congruent","sad"
2015,333,"X10",459,"LpLe","Congruent","sad"
2015,334,"X10",340,"LpLe","Congruent","sad"
2015,335,"X10",471,"LpLe","Congruent","sad"
2015,336,"X10",NA,"LpLe","Congruent","sad"
2015,337,"X10",312,"LpLe","Congruent","sad"
2015,338,"X10",336,"LpLe","Congruent","sad"
2015,339,"X10",488,"LpLe","Congruent","sad"
2015,340,"X10",364,"LpLe","Congruent","sad"
2015,341,"X10",400,"LpLe","Congruent","sad"
2015,342,"X10",431,"LpLe","Congruent","sad"
2015,343,"X10",399,"LpLe","Congruent","sad"
2015,344,"X10",429,"LpLe","Congruent","sad"
2015,345,"X10",415,"LpLe","Congruent","sad"
2015,346,"X10",494,"LpLe","Congruent","sad"
2015,347,"X10",410,"LpLe","Congruent","sad"
2015,348,"X10",437,"LpLe","Congruent","sad"
2015,349,"X10",473,"LpLe","Congruent","sad"
2015,350,"X10",395,"LpLe","Congruent","sad"
2015,351,"X10",429,"LpLe","Congruent","sad"
2015,352,"X10",366,"LpLe","Congruent","sad"
2015,353,"X10",384,"LpLe","Congruent","sad"
2015,354,"X10",396,"LpLe","Congruent","sad"
2015,355,"X10",521,"LpLe","Congruent","sad"
2015,356,"X10",433,"LpLe","Congruent","sad"
2015,357,"X10",314,"LpLe","Congruent","sad"
2015,358,"X10",738,"LpLe","Congruent","sad"
2015,359,"X10",479,"LpLe","Congruent","sad"
2015,360,"X10",415,"LpLe","Congruent","sad"
2015,361,"X10",394,"LpLe","Congruent","sad"
2015,362,"X10",490,"LpLe","Congruent","sad"
2015,363,"X10",507,"LpLe","Congruent","sad"
2015,364,"X10",465,"LpLe","Congruent","sad"
2015,365,"X10",388,"LpLe","Congruent","sad"
2015,366,"X10",476,"LpLe","Congruent","sad"
2015,367,"X10",408,"LpLe","Congruent","sad"
2015,400,"X10",436,"LpLe","Congruent","sad"
2015,401,"X10",635,"LpLe","Congruent","sad"
2015,402,"X10",NA,"LpLe","Congruent","sad"
2015,403,"X10",370,"LpLe","Congruent","sad"
2015,404,"X10",357,"LpLe","Congruent","sad"
2015,405,"X10",434,"LpLe","Congruent","sad"
2015,406,"X10",395,"LpLe","Congruent","sad"
2015,407,"X10",407,"LpLe","Congruent","sad"
2015,408,"X10",399,"LpLe","Congruent","sad"
2015,409,"X10",488,"LpLe","Congruent","sad"
2015,410,"X10",417,"LpLe","Congruent","sad"
2015,411,"X10",712,"LpLe","Congruent","sad"
2015,412,"X10",447,"LpLe","Congruent","sad"
2015,413,"X10",430,"LpLe","Congruent","sad"
2015,414,"X10",342,"LpLe","Congruent","sad"
2015,415,"X10",478,"LpLe","Congruent","sad"
2015,416,"X10",440,"LpLe","Congruent","sad"
2015,417,"X10",363,"LpLe","Congruent","sad"
2015,418,"X10",421,"LpLe","Congruent","sad"
2015,419,"X10",340,"LpLe","Congruent","sad"
2015,420,"X10",NA,"LpLe","Congruent","sad"
2015,421,"X10",380,"LpLe","Congruent","sad"
2015,422,"X10",537,"LpLe","Congruent","sad"
2015,423,"X10",400,"LpLe","Congruent","sad"
2015,424,"X10",NA,"LpLe","Congruent","sad"
2015,425,"X10",409,"LpLe","Congruent","sad"
2015,426,"X10",483,"LpLe","Congruent","sad"
2015,427,"X10",574,"LpLe","Congruent","sad"
2015,428,"X10",408,"LpLe","Congruent","sad"
